output,key,desc
BMI_Estimates,BMI,BMI Estimates
Mental_Health_Estimates,M Hlth,Mental Health Estimates
Vegetable_Serve_Estimates,Veg,Vegetable Serve Estimates
Take_Away_Per_Week_Estimates,TA Food,Take Away Per Week Estimates
Walked_>_10_Mins_per_Week,Walk >10 M,Walked > 10 Mins per Week
Minutes_Walked_Per_Week_Estimates,Min Wlkd,Minutes Walked Per Week Estimates
Minutes_Sitting_Per_Day_Estimates,Min Sit,Minutes Sitting Per Day Estimates
Sitting_Minutes_per_Weekend_Day_Estimates,Min Sit WE,Sitting Minutes per Weekend Day Estimates
Total_Minutes_Spent_in_the_Car_Per_Day_Estimates,Min Car,Total Minutes Spent in the Car Per Day Estimates
Minutes_Spent_on_Public_Transport_Per_Day_Estimates,Min PT,Minutes Spent on Public Transport Per Day Estimates
Estimates_of_General_Health,Health,Estimates of General Health
Life_Satisfaction,Satis,Life Satisfaction
Number_of_People_Spoken_to_Yesterday_Estimates,Conv’s,Number of People Spoken to Yesterday Estimates
Social_Capital_Estimates,Soc Cap,Social Capital Estimates
Feel_Safe_After_Dark,Night Safe,Feel Safe After Dark
Believe_that_most_people_can_be_trusted,Trust,Believe that most people can be trusted
Multiculturalism_is_beneficial_to_society,Multi-Cult,Multiculturalism is beneficial to society
